cartao,ingresso,curso,turma,points
288852,2017/1,ENGENHARIA METALÚRGICA,Z2,5
314437,2019/1,ENGENHARIA METALÚRGICA,Z2,7
262845,2015/1,ENGENHARIA QUÍMICA,Z2,8
288915,2017/1,ENGENHARIA QUÍMICA,Z3,7
288639,2017/1,ENGENHARIA DE MINAS,Z3,9
301476,2018/1,GEOLOGIA,Z3,3
207413,2018/2,ENGENHARIA DE ALIMENTOS,Z3,9
114255,2017/2,LICENCIATURA EM MATEMÁTICA - NOTURNA,Z3,4
304590,2018/1,GEOLOGIA,Z3,4
314932,2019/1,ENGENHARIA CIVIL,Z3,3
312990,2019/1,ENGENHARIA CIVIL,Z3,2
308056,2018/2,ENGENHARIA QUÍMICA,Z3,7
289211,2017/1,GEOLOGIA,Z3,2
288424,2017/1,ENGENHARIA AMBIENTAL,Z3,3
275957,2016/2,ENGENHARIA QUÍMICA,Z3,6
302172,2018/1,LICENCIATURA EM FÍSICA,Z3,6
304720,2018/1,ENGENHARIA DE ALIMENTOS,Z3,8
302417,2018/1,ENGENHARIA QUÍMICA,Z3,8
302020,2018/1,ENGENHARIA DE ALIMENTOS,Z3,4
285691,2018/1,ENGENHARIA DE ALIMENTOS,Z3,3
245001,2014/1,LICENCIATURA EM MATEMÁTICA,Z3,6
314822,2019/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z3,5
290533,2017/1,GEOLOGIA,Z3,4
289475,2017/1,LICENCIATURA EM MATEMÁTICA,Z3,6
302134,2018/2,ENGENHARIA CIVIL,Z3,10
245489,2017/1,GEOLOGIA,Z3,2
305003,2018/1,GEOLOGIA,Z3,2
281654,2016/1,GEOLOGIA,Z3,2
290820,2017/1,GEOLOGIA,Z3,6
313229,2019/1,GEOLOGIA,Z3,7
263873,2019/1,ENGENHARIA DE ALIMENTOS,Z3,3
291260,2017/1,ENGENHARIA DE MATERIAIS,Z3,4
303968,2018/1,ENGENHARIA DE MATERIAIS,Z3,4
287758,2017/1,ENGENHARIA QUÍMICA,Z3,7
290419,2017/1,ENGENHARIA DE MATERIAIS,Z3,5
302571,2018/2,ENGENHARIA CIVIL,Z3,6
304654,2018/1,GEOLOGIA,Z3,5
275948,2016/2,ENGENHARIA QUÍMICA,Z3,6
288874,2017/1,ENGENHARIA QUÍMICA,Z3,6
275938,2016/1,ENGENHARIA QUÍMICA,Z3,6
289468,2017/1,LICENCIATURA EM MATEMÁTICA,Z3,7
311624,2019/1,ENGENHARIA DE ALIMENTOS,Z3,7
289921,2018/2,GEOLOGIA,Z3,6
276114,2018/2,ENGENHARIA DE ALIMENTOS,Z3,4
265524,2018/2,GEOLOGIA,Z3,2
303418,2018/2,ENGENHARIA CIVIL,Z4,7
297125,2017/2,ENGENHARIA MECÂNICA,Z4,10
303976,2018/1,ENGENHARIA CIVIL,Z4,7
297124,2017/2,ENGENHARIA MECÂNICA,Z4,6
312625,2019/1,ENGENHARIA CIVIL,Z4,8
313540,2019/1,ENGENHARIA CIVIL,Z4,6
306038,2018/1,ENGENHARIA MECÂNICA,Z4,7
301600,2018/1,ENGENHARIA CIVIL,Z4,5
288787,2017/2,ENGENHARIA MECÂNICA,Z4,8
301722,2018/2,ENGENHARIA MECÂNICA,Z4,9
304546,2018/1,ENGENHARIA METALÚRGICA,Z4,2
264395,2016/2,LICENCIATURA EM MATEMÁTICA,Z4,8
288795,2017/2,ENGENHARIA MECÂNICA,Z4,7
297635,2017/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,2
270221,2017/1,GEOLOGIA,Z4,4
288807,2017/2,ENGENHARIA MECÂNICA,Z4,8
207676,2018/2,ENGENHARIA MECÂNICA,Z4,4
303338,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,5
288793,2017/2,ENGENHARIA MECÂNICA,Z4,7
306017,2018/1,ENGENHARIA METALÚRGICA,Z4,7
264978,2017/1,ENGENHARIA DE MATERIAIS,Z4,4
301841,2018/1,ENGENHARIA MECÂNICA,Z4,5
301503,2018/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z4,6
309114,2018/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,6
282081,2016/1,ENGENHARIA METALÚRGICA,Z4,3
302369,2018/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,6
289469,2017/1,LICENCIATURA EM MATEMÁTICA,Z4,7
288871,2017/1,ENGENHARIA QUÍMICA,Z4,7
288791,2017/2,ENGENHARIA MECÂNICA,Z4,6
247250,2014/1,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Z4,2
302186,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,4
302640,2018/1,GEOLOGIA,Z4,5
290688,2017/2,ENGENHARIA QUÍMICA,Z4,6
288797,2017/2,ENGENHARIA MECÂNICA,Z4,9
315365,2019/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z4,10
303320,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,5
288800,2017/1,ENGENHARIA MECÂNICA,Z4,9
297533,2017/2,ENGENHARIA MECÂNICA,Z4,7
261094,2015/2,ENGENHARIA QUÍMICA,Z4,2
297544,2017/2,ENGENHARIA MECÂNICA,Z4,5
301958,2018/2,ENGENHARIA CIVIL,Z4,7
288796,2017/2,ENGENHARIA MECÂNICA,Z4,8
288780,2017/2,ENGENHARIA MECÂNICA,Z4,6
289303,2019/1,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Z4,7
301808,2018/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z4,8
303749,2018/2,ENGENHARIA MECÂNICA,Z4,10
302865,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z4,6
305017,2018/1,ENGENHARIA DE CONTROLE E AUTOMAÇÃO,Z4,3
288904,2017/1,ENGENHARIA QUÍMICA,Z4,7
288873,2017/1,ENGENHARIA QUÍMICA,Z4,7
290468,2017/1,ENGENHARIA QUÍMICA,Z4,7
278311,2017/1,LICENCIATURA EM MATEMÁTICA,Z4,3
288640,2018/2,GEOLOGIA,Z4,5
302377,2018/1,ENGENHARIA METALÚRGICA,Z4,5
288920,2017/1,ENGENHARIA QUÍMICA,Z4,8
288831,2017/1,ENGENHARIA METALÚRGICA,Z4,4
282048,2016/1,LICENCIATURA EM MATEMÁTICA,Z4,6
291605,2017/1,LICENCIATURA EM MATEMÁTICA,Z5,6
308149,2018/2,ENGENHARIA CIVIL,Z5,7
287720,2017/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,3
161250,2018/2,LICENCIATURA EM MATEMÁTICA - NOTURNA,Z5,4
262008,2018/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,3
274727,2016/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,1
289490,2017/2,LICENCIATURA EM MATEMÁTICA - NOTURNA,Z5,1
303901,2018/1,ENGENHARIA DE ALIMENTOS,Z5,3
313205,2019/1,ENGENHARIA CIVIL,Z5,2
230153,2014/1,LICENCIATURA EM MATEMÁTICA,Z5,4
263026,2015/1,BACHARELADO EM FÍSICA: ASTROFÍSICA,Z5,4
278043,2016/1,ENGENHARIA DE COMPUTAÇÃO,Z5,8
288585,2018/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,3
228510,2013/2,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,3
289470,2017/1,LICENCIATURA EM MATEMÁTICA,Z5,7
268613,2015/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,7
288560,2019/1,BACHARELADO EM CIÊNCIA DA COMPUTAÇÃO,Z5,7
289472,2017/1,LICENCIATURA EM MATEMÁTICA,Z5,5
