Id,Questionário: SIMULADO - PROVA 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: SIMULADO - EXAME - responder até dia 16 de julho (Real),Questionário: QUIZ - 1.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.2 E 1.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.4 E 1.5 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 1.6 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.3 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 2.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.1 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.2 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.3 e 3.4 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - 3.5 e 3.6 - VALE PRESENÇA!!! (Real),Questionário: Simulado Prova2 - ERRO (só considerar os 8 alunos que fizeram) (Real),Questionário: QUIZ - 1.7 - VALE PRESENÇA!!! (Real),Questionário: QUIZ - PRÉ-PROVA - VALE PRESENÇA!!! (Real),Total do curso (Real)
184,7,8,10,6,8.75,2,6.67,1,0,2,0,1,0,1,0,1,-,2,1,63.8
185,8,7,8,-,6.88,3,3.33,0,1,0,0,1,0,0,0,2,-,0,2,52.76
186,10,8,10,-,9.38,3,3.33,3,0,1,0,0,0,1,0,0,-,-,3,67.15
187,1,4,8,-,5.63,0,3.33,0,1,0,0,0,0,1,1,0,-,-,1,33.71
188,7,2,10,-,10,3,3.33,3,-,1,0,0,0,1,0,1,-,0,3,57.58
189,5,8,10,-,5.63,1,6.67,1,-,2,0,0,1,2,1,0,-,2,-,61.2
190,4,-,-,-,8.75,-,3.33,1,-,0,-,0,0,1,1,-,-,-,1,41.84
191,8,9,9,-,10,3,6.67,2,3,3,1,2,1,3,1,2,-,3,1,84.58
192,9,-,7,-,6.88,3,-,1,3,2,-,-,0,0,1,-,-,3,3,71.99
193,9,7,10,-,8.75,2,6.67,0,-,2,0,2,0,1,2,1,-,1,-,70.83
194,5,3,1,6,6.25,3,0,-,-,-,0,0,0,-,1,0,-,1,2,36.22
195,10,10,9,-,10,3,6.67,0,2,0,0,-,0,2,2,2,-,1,2,77.49
196,8,9,7,-,10,3,10,1,1,2,1,1,0,0,1,0,-,1,3,72.5
197,6,5,0,6,10,3,10,2,-,0,0,-,0,1,0,-,-,0,2,54.88
198,5,8,7,10,9.38,2,6.67,0,1,1,0,1,0,3,1,0,-,1,1,63.38
199,-,-,-,-,-,2,-,-,-,-,-,-,0,1,0,-,-,-,-,33.33
200,7,0,8,5,7.5,2,10,0,1,0,0,2,1,2,1,1,-,2,2,57.22
201,6,8,10,-,8.13,2,6.67,3,2,1,0,2,0,-,1,0,-,1,-,68.64
202,8,6,9,-,8.13,3,6.67,1,2,1,0,-,0,2,-,1,-,1,2,67.72
203,-,9,8,-,-,-,-,3,-,0,0,1,0,1,0,-,-,0,2,57.14
204,9,-,9,-,6.25,2,10,2,0,2,0,2,0,0,-,1,-,2,1,68.01
205,6,5,7,-,9.38,2,6.67,3,1,1,0,2,-,0,1,1,-,3,3,64.61
206,8,10,10,-,10,3,10,2,-,3,0,0,0,-,1,2,-,3,3,87.84
207,10,9,9,-,9.38,1,10,1,1,2,1,0,1,1,0,-,-,3,0,74.84
208,9,9,7,-,10,3,6.67,2,3,3,0,3,1,3,2,2,-,0,3,83.33
209,7,6,6,-,8.75,3,6.67,2,0,1,1,3,-,-,-,0,-,2,2,65.43
210,-,-,10,-,8.75,-,3.33,1,-,0,0,1,0,0,1,1,-,0,-,51.14
211,8,9,10,-,-,-,-,0,1,1,1,1,0,0,-,0,-,1,3,63.64
212,7,4,7,-,10,3,10,0,3,2,0,0,0,1,1,1,-,0,0,61.25
213,-,-,-,-,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-,0
214,7,8,10,-,10,3,6.67,0,1,0,1,0,1,2,1,1,-,3,1,69.58
215,6,8,10,-,7.5,3,3.33,2,1,0,0,-,0,-,-,2,-,2,1,63.66
216,4,-,-,-,8.75,1,6.67,2,-,1,-,1,0,0,0,0,-,1,1,47.17
217,8,10,6,-,10,1,10,3,2,2,1,3,0,2,1,0,-,2,2,78.75
218,7,9,9,-,5,0,-,2,-,3,0,2,0,0,1,0,-,1,1,59.7
219,7,9,10,-,10,2,3.33,1,2,1,0,1,0,0,2,0,-,1,2,64.17
220,7,10,8,-,9.38,3,6.67,1,1,0,0,0,1,0,1,2,-,1,1,65.05
221,-,0,8,-,-,3,10,2,-,1,-,1,0,-,0,1,-,-,0,52
222,5,-,9,8,7.5,0,3.33,2,3,1,-,0,0,0,1,0,-,0,1,51.69
223,5,9,9,-,7.5,1,3.33,1,0,0,0,0,0,1,-,0,-,0,2,49.79
224,7,9,10,-,10,3,3.33,-,2,2,0,-,1,0,1,1,-,2,2,72.07
225,-,-,-,-,-,-,3.33,-,-,-,-,-,-,-,-,-,-,-,-,33.33
226,10,5,10,-,10,2,10,1,-,1,1,1,0,0,1,2,-,1,3,75.32
227,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
228,6,4,6,-,8.75,3,0,2,-,-,0,1,0,3,1,2,-,0,0,49.66
229,7,8,5,-,6.25,0,10,0,1,0,0,0,0,0,0,1,-,-,1,50.97
230,-,2,-,3,8.13,2,6.67,0,0,2,0,1,1,-,0,0,-,-,0,40.3
231,9,7,10,-,9.38,3,10,1,3,2,0,1,1,3,0,0,-,2,0,76.72
232,2,0,-,-,9.38,3,10,2,-,0,-,-,1,0,0,1,-,2,1,49.8
233,5,9,10,8,10,3,3.33,3,2,1,0,0,0,1,2,2,-,1,2,69.26
234,10,9,10,-,10,3,10,3,2,2,1,2,0,2,2,1,-,1,2,87.5
235,10,10,8,-,8.75,3,6.67,2,1,1,0,1,0,0,1,0,-,3,2,71.77
236,7,6,-,-,8.75,3,-,1,-,1,0,1,0,-,2,1,-,-,1,62.25
237,10,9,10,-,10,3,10,-,2,3,0,3,1,-,1,2,-,2,1,90.54
238,9,9,10,-,10,2,6.67,1,-,1,1,3,0,0,-,-,-,1,2,76.26
239,10,10,9,-,8.13,3,3.33,2,0,2,0,1,0,0,0,0,-,-,0,62.93
240,8,9,10,-,10,3,10,3,3,3,0,3,1,3,1,2,-,3,3,93.75
241,10,10,7,-,9.38,3,10,3,3,2,1,3,0,2,-,2,-,2,-,89.83
242,2,-,-,0,10,2,10,0,1,0,-,2,0,0,-,1,-,-,2,46.88
243,10,8,9,-,10,3,10,3,3,3,1,3,1,3,2,2,-,3,3,96.25
244,7,-,-,-,6.88,-,0,0,-,1,0,0,0,1,0,0,-,-,1,33.09
245,8,10,10,-,8.75,3,10,2,1,3,0,0,1,1,1,2,-,2,3,82.19
246,9,7,5,-,8.75,2,10,0,1,0,1,1,0,-,1,-,-,-,3,67.71
247,4,5,9,-,7.5,3,6.67,2,0,1,0,2,0,1,1,-,-,0,3,57.91
248,5,4,-,-,9.38,-,-,2,-,-,0,0,0,-,0,1,-,1,0,46.61
249,9,9,10,-,10,-,3.33,2,1,-,0,-,0,1,-,1,-,1,3,72.95
250,8,8,7,9,5.63,1,6.67,-,1,-,-,2,0,-,-,2,-,-,1,68.39
251,9,10,10,-,10,2,3.33,-,-,0,-,0,0,1,0,0,-,2,1,66.21
252,6,3,7,7,7.5,2,3.33,0,-,0,0,1,1,2,1,0,-,1,2,50.38
253,8,8,0,-,9.38,3,10,1,0,0,1,0,1,3,1,-,-,-,1,61.83
254,8,8,10,10,10,2,3.33,1,-,-,0,0,0,1,2,0,-,0,-,68.31
255,9,9,9,-,8.75,3,3.33,2,2,1,1,2,0,2,2,0,-,2,2,72.6
256,8,8,10,-,10,3,10,-,1,3,0,2,-,1,1,-,-,0,3,81.08
257,8,4,9,-,-,3,0,2,-,1,0,1,-,-,2,1,-,1,3,55.56
258,-,-,-,-,9.38,3,10,3,-,-,0,1,0,-,0,-,-,-,2,78.82
259,10,9,10,-,8.75,3,10,0,2,1,0,2,1,0,-,0,-,1,1,75.32
260,-,-,3,-,8.75,1,-,1,-,2,0,0,1,1,1,1,-,-,-,48.17
261,10,9,10,8,6.88,2,-,1,-,0,-,0,0,1,0,1,-,-,1,68.32
262,9,9,9,-,9.38,3,6.67,2,2,2,1,1,0,1,0,1,-,3,2,76.3
263,10,10,9,-,9.38,3,6.67,2,3,3,1,2,1,3,2,2,-,2,2,88.8
264,7,10,10,-,10,2,10,1,2,0,1,1,0,1,1,1,-,2,2,76.25
265,6,-,6,8,9.38,-,6.67,2,1,3,1,1,0,-,1,-,-,0,1,63.95
266,8,7,-,-,10,3,10,2,-,2,1,1,1,-,0,1,-,1,2,76.56
267,4,0,-,-,10,3,10,2,-,1,1,1,-,-,-,-,-,1,3,61.02
268,-,7,-,6,10,3,-,1,-,0,0,0,0,0,2,0,-,1,-,55.56
269,4,2,2,-,6.88,-,6.67,1,-,0,-,-,-,-,-,0,-,0,1,36.78
270,8,5,7,-,9.38,3,3.33,0,0,0,0,1,0,2,-,1,-,-,1,54.28
271,5,10,8,-,8.75,1,3.33,1,0,0,1,0,0,3,2,1,-,-,-,59.57
272,6,5,6,-,8.13,3,10,2,-,1,1,1,0,1,0,1,-,2,0,61.2
273,7,5,7,-,10,3,3.33,2,1,1,1,-,1,2,2,2,-,2,-,66.67
274,7,7,9,-,10,3,10,-,1,3,1,1,1,1,-,0,-,2,2,77.33
275,8,8,9,-,9.38,2,3.33,2,-,3,1,3,0,3,2,2,-,2,3,78.84
276,5,6,8,-,6.88,2,3.33,3,0,1,1,-,0,-,2,0,-,1,1,54.34
277,6,-,-,-,8.75,2,10,1,3,2,0,0,-,-,-,-,-,0,2,66.83
278,6,8,8,-,6.25,0,3.33,0,1,-,0,0,0,1,-,2,-,-,3,53.59
279,9,6,8,-,5,2,0,1,2,0,0,1,0,-,0,0,-,0,1,45.45
280,9,5,8,-,6.88,2,6.67,0,1,0,0,2,0,0,0,0,-,2,1,54.43
281,7,1,-,-,10,3,3.33,-,-,0,0,2,0,0,0,0,-,0,3,45.83
282,10,9,9,-,5.63,3,10,1,1,1,1,1,0,-,0,1,-,0,0,68.34
283,9,6,10,-,10,3,3.33,2,-,2,1,2,0,0,0,2,-,1,3,70.56
284,10,8,10,-,9.38,3,6.67,2,-,0,0,2,0,0,0,0,-,-,3,73.03
285,7,7,8,-,9.38,-,10,1,3,2,1,2,1,2,1,1,-,3,1,77.11
286,-,5,6,-,9.38,0,3.33,2,1,0,0,1,0,-,1,1,-,-,0,46.42
287,9,7,9,-,10,3,6.67,0,1,2,1,1,0,2,0,0,-,1,3,69.58
288,8,9,9,-,9.38,3,10,3,3,3,1,1,1,1,2,1,-,1,3,85.47
289,6,-,9,-,-,-,-,1,0,2,0,-,-,3,2,-,-,3,2,68.29
290,10,8,-,-,8.75,3,3.33,1,0,0,1,0,0,1,0,0,-,0,2,54.4
