Id,Questionário: QUIZ - 1.1 (Real),Questionário: QUIZ - 1.2 E 1.3 (Real),Questionário: QUIZ - 1.4 E 1.5 (Real),Questionário: QUIZ - 1.6 E 1.7 (Real),Questionário: QUIZ - 2.1 (Real),Questionário: QUIZ - 2.2 (Real),Questionário: QUIZ - 2.3 (Real),Questionário: QUIZ - 2.4 (Real),Questionário: QUIZ - 3.1 (Real),Questionário: QUIZ - 3.2 (Real),Questionário: QUIZ - 3.3 e 3.4 (Real),Questionário: QUIZ - 3.5 e 3.6 (Real),"AVALIAÇÕES PONTUAIS - PESO 0,4 (Real)",Questionário: SIMULADO - PROVA 1 (Real),Questionário: PROVA 1 - ERE (Real),PROVA+SIMULADO 1 (Real),Questionário: SIMULADO - PROVA 2 (Real),Questionário: PROVA 2 - ERE (Real),PROVA+SIMULADO 2 (Real),Questionário: SIMULADO - PROVA 3 (Real),Questionário: PROVA 3 (Real),PROVA+SIMULADO 3 (Real),"AVALIAÇÕES PARCIAIS - PESO 0,6 (Real)",MÉDIA SEMESTRE (Real),Questionário: SIMULADO - EXAME (Real),Questionário: PROVA - EXAME (Real),EXAME (Real),MÉDIA COM EXAME (Real),Total do curso (Real)
115,10,10,10,10,10,10,10,10,10,9,9.17,9,9.76,-,10,10,-,9.63,9.63,-,8.8,8.8,9.48,9.59,-,-,-,3.84,9.59
116,10,10,6.67,0,10,0,0,-,-,-,-,-,3.06,-,5.45,5.45,-,-,0,-,-,0,1.82,2.31,-,-,-,0.92,2.31
117,8.96,10,10,5,-,5,6.67,5.56,-,0,-,-,4.27,0.9,8.25,9.15,0.5,2.59,3.09,0.9,4.5,5.4,5.88,5.23,0.9,8.5,9.4,7.73,7.73
118,10,10,6.67,7.5,5,10,10,3.33,10,4.33,5,9,7.57,1,6.05,7.05,0.9,0,0.9,1,4.6,5.6,4.52,5.74,0.7,5.5,6.2,6.02,6.02
119,7.92,10,10,-,5,6.67,5,3.33,10,7,8.33,5,6.52,0.9,6.75,7.65,0.9,6.67,7.57,1,8.5,9.5,8.24,7.55,-,-,-,3.02,7.55
120,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
121,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
122,5.31,10,6.67,1.25,-,3.33,-,-,-,0,-,-,2.21,0.6,4.65,5.25,0.3,0,0.3,-,-,0,1.85,2,-,-,-,0.8,2
123,8.96,10,10,7.5,10,-,10,6.11,5,8,10,9,7.88,0.9,9.5,10,0.8,6.48,7.28,1,7.53,8.53,8.6,8.31,-,-,-,3.33,8.31
124,10,10,10,10,10,10,10,7.78,10,9,10,10,9.73,1,7.55,8.55,1,4.44,5.44,1,8.1,9.1,7.7,8.51,-,-,-,3.4,8.51
125,10,10,10,10,5,8.33,10,10,10,10,10,10,9.44,0.9,5.8,6.7,0.8,2.41,3.21,1,7.6,8.6,6.17,7.48,-,-,-,2.99,7.48
126,10,10,10,8.75,10,10,10,10,10,10,10,10,9.9,1,9.5,10,0.9,9.63,10,1,7.5,8.5,9.5,9.66,-,-,-,3.86,9.66
127,10,5,10,7.5,10,10,6.67,5,5,2,2.5,-,6.14,0.8,7.3,8.1,0.6,1.76,2.36,1,5.2,6.2,5.55,5.79,0.6,5.67,6.27,6.07,6.07
128,10,10,10,7.5,10,6.67,10,7.78,10,8,4.17,-,7.84,0.8,7.35,8.15,1,5.56,6.56,-,2.15,2.15,5.62,6.51,-,-,-,2.6,6.51
129,10,10,10,7.5,10,10,10,6.67,10,7,10,8,9.1,0.7,8.75,9.45,0.4,6.67,7.07,0.5,7.73,8.23,8.25,8.59,-,-,-,3.43,8.59
130,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
131,-,10,10,2.5,5,3.33,8.33,3.33,0,4.33,4.17,0,4.25,0.7,9.5,10,0.7,5.93,6.63,0.9,4.9,5.8,7.48,6.19,-,-,-,2.47,6.19
132,-,-,-,-,-,-,-,-,5,-,-,-,0.42,-,-,-,-,-,-,-,-,-,-,0.17,-,-,-,0.07,0.17
133,8.96,-,6.67,3.75,10,3.33,-,-,-,-,-,-,2.73,0.6,6.2,6.8,-,-,0,0.4,2.68,3.08,3.29,3.07,0,2,2,2.43,3.07
134,10,10,10,3.75,10,-,10,8.89,10,10,10,10,8.55,1,6.8,7.8,0.9,5.65,6.55,0.9,8.23,9.13,7.82,8.12,-,-,-,3.25,8.12
135,10,10,10,10,10,10,10,10,10,8,10,10,9.83,0.9,7.55,8.45,1,5.93,6.93,1,8.13,9.13,8.17,8.83,-,-,-,3.53,8.83
136,10,10,10,7.5,10,6.67,10,3.33,10,10,10,6,8.63,1,5.55,6.55,0.8,3.89,4.69,1,6.7,7.7,6.31,7.24,-,-,-,2.9,7.24
137,9.48,10,10,-,-,-,-,-,-,-,-,-,2.46,0.7,9.55,10,-,-,0,-,-,0,3.33,2.98,-,-,-,1.19,2.98
138,9.17,10,10,10,10,10,10,6.67,10,3.67,6.67,4,8.35,1,9.25,10,1,6.85,7.85,0.5,2.13,2.63,6.83,7.43,-,-,-,2.97,7.43
139,10,10,10,10,10,8.33,8.33,8.89,10,6.33,7.5,7,8.87,0.8,7,7.8,0.7,4.26,4.96,1,2.6,3.6,5.45,6.82,-,-,-,2.73,6.82
140,9.48,5,6.67,2.5,0,3.33,10,0,10,0,-,-,3.91,0.4,4.85,5.25,0.6,2.59,3.19,-,-,0,2.81,3.25,-,-,-,1.3,3.25
141,10,10,10,5,10,8.33,10,10,10,10,9.17,9,9.29,0.8,9.75,10,1,8.33,9.33,1,6.8,7.8,9.04,9.14,-,-,-,3.66,9.14
142,10,10,6.67,10,10,8.33,6.67,3.33,10,3.67,4.17,2.25,7.09,0.8,6.5,7.3,0.2,0.65,0.85,0.9,3.88,4.78,4.31,5.42,0.5,10,10,8.17,8.17
143,10,10,10,7.5,10,8.33,10,10,10,8.33,9.17,6.5,9.15,0.7,8.3,9,0.9,2.78,3.68,1,3.15,4.15,5.61,7.03,-,-,-,2.81,7.03
144,10,10,10,5,5,3.33,10,0,5,-,9.17,7,6.21,0.8,9.05,9.85,0.9,5.83,6.73,0.7,5.5,6.2,7.59,7.04,-,-,-,2.82,7.04
145,10,10,10,7.5,10,6.67,10,7.78,10,9,10,9,9.16,0.7,6.75,7.45,0.9,5.37,6.27,0.6,6.4,7,6.91,7.81,-,-,-,3.12,7.81
146,10,10,10,10,10,10,10,10,10,10,10,7.5,9.79,1,7.55,8.55,1,6.76,7.76,1,8.8,9.8,8.7,9.14,-,-,-,3.66,9.14
147,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
148,10,10,10,6.25,-,-,-,-,-,-,-,-,3.02,0.9,6.8,7.7,-,-,0,-,-,0,2.57,2.75,-,-,-,1.1,2.75
149,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
150,-,-,-,-,-,-,-,0,-,-,-,-,0,-,5.85,5.85,-,-,0,-,-,0,1.95,1.17,-,-,-,0.47,1.17
151,10,10,6.67,5,-,3.33,10,4.44,10,7.33,8.33,2,6.43,1,7.8,8.8,1,4.91,5.91,1,3.8,4.8,6.5,6.47,-,-,-,2.59,6.47
152,-,10,6.67,10,5,-,-,3.33,10,4.67,2.5,1,4.43,0.7,8.7,9.4,0.3,1.67,1.97,1,1.6,2.6,4.66,4.57,0.6,7,7.6,6.39,6.39
153,10,5,10,5,5,6.67,5,7.22,10,8,10,10,7.66,1,5.75,6.75,0.9,4.07,4.97,1,8.1,9.1,6.94,7.23,-,-,-,2.89,7.23
154,5.83,10,0,-,-,8.33,-,-,-,-,-,-,2.01,-,4.1,4.1,-,0.28,0.28,-,-,0,1.46,1.68,-,-,-,0.67,1.68
155,9.17,10,10,5,10,8.33,5,7.22,10,7.33,9.17,10,8.44,0.7,7.75,8.45,1,1.67,2.67,1,5.9,6.9,6.01,6.98,-,-,-,2.79,6.98
156,10,10,10,10,5,8.33,10,10,10,10,10,10,9.44,1,9.5,10,1,6.2,7.2,0.9,8.4,9.3,8.83,9.08,-,-,-,3.63,9.08
157,10,10,10,10,10,10,10,10,10,10,10,10,10,1,8.6,9.6,0.9,8.15,9.05,0.9,8.4,9.3,9.32,9.59,-,-,-,3.84,9.59
158,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
159,10,10,10,10,-,6.67,-,10,-,-,-,9,5.47,0.9,6.3,7.2,0.9,2.13,3.03,1,7.9,8.9,6.38,6.01,-,-,-,2.41,6.01
160,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
161,9.48,10,10,10,10,10,10,10,10,10,10,10,9.96,0.9,8.3,9.2,0.5,9.17,9.67,0.5,7.53,8.03,8.96,9.36,-,-,-,3.74,9.36
162,10,10,10,10,10,6.67,6.67,-,10,-,5.83,4.25,6.95,0.9,8.05,8.95,0.7,4.07,4.77,0.9,5.6,6.5,6.74,6.83,-,-,-,2.73,6.83
163,9.48,10,10,5,10,10,10,6.67,10,9,10,10,9.18,0.9,9.75,10,0.9,3.98,4.88,0.9,7.3,8.2,7.69,8.29,-,-,-,3.32,8.29
164,10,10,10,10,10,8.33,10,10,10,10,10,9,9.78,0.9,9.6,10,0.8,8.89,9.69,1,8.4,9.4,9.7,9.73,-,-,-,3.89,9.73
165,9.17,-,-,6.25,5,-,8.33,-,-,-,-,-,2.4,0.9,8.3,9.2,1,0,1,-,-,0,3.4,3,-,-,-,1.2,3
166,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
167,10,10,10,8.75,-,8.33,5,6.67,10,8,-,6.25,6.92,0.8,7.1,7.9,1,3.24,4.24,0.9,6.58,7.48,6.54,6.69,-,-,-,2.68,6.69
168,10,10,10,10,10,8.33,5,6.67,10,9,9.17,7.5,8.81,0.9,7.9,8.8,0.9,4.17,5.07,0.9,6.85,7.75,7.21,7.85,-,-,-,3.14,7.85
169,10,10,10,10,10,10,10,10,10,10,7.5,10,9.79,0.9,9.8,10,0.9,7.87,8.77,-,6.7,6.7,8.49,9.01,-,-,-,3.6,9.01
